Código;Nome;Tipo;Diretor;A(u)tores;Tamanho;Gênero;Série;Temporada;Possui?;Consumiu?;Deseja?;Preço
1;Star Wars – Episódio I;F;22;23,24;133;FC;;;;x;x;19.4
2;Jurrasic World;F;6;2,3,4,5;124;FC;;;;;;29.9
3;O Hobbit;L;;21;328;AV;;;x;x;;38.9
4;As Crônicas de Nárnia – Volume único;L;;1;752;AV;;;;x;x;39.9
5;O Hobbit - Uma Jornada Inesperada;F;27;29,30,28;169;AV;;;;x;;39.9
6;Star Wars – Episódio III;F;22;23,24;140;FC;;;;;;22
7;Breaking Bad – 3ª Temporada;S;38;39,40;385;DC;Breaking Bad;3;;;x;20
8;Forrest Gump;F;19;20,16;142;CR;;;;x;x;27
9;A Insustentável Leveza do Ser;L;;33;120;RO;;;;;x;14,2
10;Sense 8 – 1ª Temporada;S;7;8,9,10,11,12,13,14,15;720;FC;Sense 8;1;;x;x;22.5
11;Star Wars – Episódio II;F;22;23,24;142;FC;;;;x;;29.4
12;Up;F;32;;96;AN;;;;;x;19
13;Breaking Bad – 1ª Temporada;S;38;39,40;385;DC;Breaking Bad;1;x;x;;20
14;O Hobbit - A Desolação de Smaug;F;27;29,30,28;161;AV;;;;x;x;39.9
15;Demolidor – 1ª Temporada;S;;35,34,36;715;FC;Demolidor;1;x;x;;12
16;Star Wars – Episódio V;F;22;25,26;131;FC;;;x;x;;28.9
17;Sherlock – 2ª Temporada;S;31;28,30;270;DP;Sherlock;2;;;x;20
18;O Hobbit - A Batalha dos Cinco Exércitos;F;27;29,30,28;144;AV;;;;;x;39.9
19;Sherlock – 1ª Temporada;S;31;28,30;270;DP;Sherlock;1;;x;;20
20;Cloud Atlas;F;7;18,16,17;171;FC;;;;;x;55.9
21;Breaking Bad – 2ª Temporada;S;38;39,40;1100;DC;Breaking Bad;2;x;x;;20
22;Demolidor – 2ª Temporada;S;;35,34,36;715;FC;Demolidor;2;;;x;12
23;A Viagem de Chihiro;F;37;;124;AN;;;;;x;17
24;Star Wars – Episódio VI;F;22;25,26;136;FC;;;;x;x;28.9
25;Sherlock – 3ª Temporada;S;31;28,30;270;DP;Sherlock;3;;;x;20
26;Breaking Bad – 4ª Temporada;S;38;39,40;385;DC;Breaking Bad;4;;;x;20
27;Breaking Bad – 5ª Temporada;S;38;39,40;385;DC;Breaking Bad;5;;;x;20
28;Star Wars – Episódio IV;F;22;25,26;124;FC;;;x;x;;28.9
29;O Pistoleiro;L;;41;224;AV;;;x;x;;24
