Pessoa;Produção
Aml Ameen;Sense 8 – 1ª Temporada
Benedict Cumberbatch;O Hobbit - A Batalha dos Cinco Exércitos, O Hobbit - A Desolação de Smaug, O Hobbit - Uma Jornada Inesperada, Sherlock – 1ª Temporada, Sherlock – 2ª Temporada, Sherlock – 3ª Temporada
Brian J. Smith;Sense 8 – 1ª Temporada
Bryce Dallas Howard;Jurrasic World
Chris Pratt;Jurrasic World
Clive Staples Lewis;As Crônicas de Nárnia – Volume único
Colin Trevorrow;Jurrasic World
Doona Bae;Sense 8 – 1ª Temporada
George Lucas;Star Wars – Episódio I, Star Wars – Episódio II, Star Wars – Episódio IV, Star Wars – Episódio V, Star Wars – Episódio VI, Star Wars – Episódio III
Halle Berry;Cloud Atlas
Harrison Ford;Star Wars – Episódio IV, Star Wars – Episódio V, Star Wars – Episódio VI
Ian McKellen;O Hobbit - A Batalha dos Cinco Exércitos, O Hobbit - A Desolação de Smaug, O Hobbit - Uma Jornada Inesperada
J. R. R. Tolkien;O Hobbit
Jamie Clayton;Sense 8 – 1ª Temporada
Jim Broadbent;Cloud Atlas
Liam Neeson;Star Wars – Episódio I, Star Wars – Episódio II, Star Wars – Episódio III
Mark Richard Hamill;Star Wars – Episódio IV, Star Wars – Episódio V, Star Wars – Episódio VI
Martin Freeman;O Hobbit - A Batalha dos Cinco Exércitos, O Hobbit - A Desolação de Smaug, O Hobbit - Uma Jornada Inesperada, Sherlock – 1ª Temporada, Sherlock – 2ª Temporada, Sherlock – 3ª Temporada
Max Riemelt;Sense 8 – 1ª Temporada
Miguel Ángel Silvestre;Sense 8 – 1ª Temporada
Milan Kundera;A Insustentável Leveza do Ser
Natalie Portman;Star Wars – Episódio I, Star Wars – Episódio II, Star Wars – Episódio III
Nick Robinson;Jurrasic World
Pete Docter;Up
Peter Jackson;O Hobbit - A Batalha dos Cinco Exércitos, O Hobbit - A Desolação de Smaug, O Hobbit - Uma Jornada Inesperada
Robert Zemeckis;Forrest Gump
Robin Wright Penn;Forrest Gump
The Wachowskis;Cloud Atlas
Tina Desai;Sense 8 – 1ª Temporada
Tom Hanks;Cloud Atlas, Forrest Gump
Tuppence Middleton;Sense 8 – 1ª Temporada
Ty Simpkins;Jurrasic World
